index,label,sentence
0,0,"diffusion paths for FoxNews with strong and weak opinions, respectively."
1,0,The stacked tree is synchronized with the opinion flow visualization to help users examine and compare diffusion patterns across topics.
2,0,"newness of a topic in a time window, ratio of original content per author, used topics of participants, and co occurrences between topics."
3,0,timestamps
4,0,co occurring topics
5,0,"Twitter posts about the earthquake in Chile on the evening of February 27, 2010"
6,0,newest topics
7,0,Large Scale Events
8,0,sequence of entities that form a conversation
9,0,"Live Chat managers estimate they received 5675 chats per month or 22,700 chats over our four month test period"
10,0,Visualizing and comparing multi item features.
11,0,the tweets of Hillary Clinton and Donald Trump in the U.S Presidential Election Campaign of 2016.
12,0,"we processed 3,416 tweets from Hillary Clinton (indicated by pink) and Donald Trump (blue) in the 2016 presidential election in the USA."
13,0,"This file contains data about the time the message was posted, the person who posted it, the person receiving it and the contents."
14,0,Each message also includes a “To” and “From” which shows the user’s friendly (nick) name.
15,0,A typical social divergence process is usually represented as different opinions expressed by groups of users towards the same topics or events over time.
16,0,"we decompose these data into several key factors including: (1) temporal extent of social communities, (2) topics or events, and (3) user responses to the topics and events."
17,0,"The processes include data filtering and segmentation, user sentiment estimation, and user clustering."
18,0,"We collected US presidential debate (held on October 3, 11, 16, and 22, 2012) data from the 10 % Twitter stream."
19,0,"Visualization of the dynamics of topic cooperation and competition from August 13, 2012 to March 25, 2013."
20,0,"spending, welfare, economy general, international issues, and government and politics"
21,0,business topic data
22,0,social topics data
23,0,visual patterns that characterize prominent news
24,0,dense streaming news topics
25,0,streaming news data
26,0,"Snopes is a website that collects memes, urban legends, and stories with unknown or uncertain origins."
27,0,"Reddit is a social networking and news website where users, called Redditors, can create a submission with text content and direct links to other online content."
28,0,using Wikipedia entity linking or the user with the most comments.
29,0,The original weibo
30,0,original message
31,0,Weibo reposting data
32,0,"key players can create new opinions or topics, and may have a strong influence on the overall even"
33,0,tweeting rabbis
34,0,a single social media event
35,0,All based on a single event   a single tweet or a single link shortening
36,0,"the location set consists of the important cites of Britain, and the time period is divided into weeks."
37,0,"The representation of the dimensions needs to reflect their inherent properties, particularly, the geographic arrangement of the locations and the linear ordering of the time intervals."
38,0,"The items shown in the projection are labeled, depending on their nature, with the location names, indexes of time steps, or dominant keywords (i.e., having the highest weights for the topics)."
39,0,"The reviews often contain statements about working conditions, company culture and management styles, which are used to describe Employee Imagery. We collected 312,400 Glassdoor employee reviews in total."
40,0,"We considered the tweets from a brand’s Twitter account as its Official Announcements, and collected 680,056 tweets all together."
41,0,Twitter regarding the US presidential primary elections of the Republican Party
42,0,active tweets
43,0,sentiments and banks based on shared keywords.
44,0,the total number of posts.
45,0,"Every extracted opinion contains positive, negative, and uncertainty scores for each feature. "
46,0,"When conveying opinions to a user, we usually need to combine multiple selected opinions for multi scale visual data exploration"
47,0,"Customer opinions are the center of customer feedback data,"
48,0,"Our TextWheel system consists of several visual components, which are all inspired by some everyday objects that users are very familiar with. For example, our keyword wheel is inspired by Ferris wheels. News articles move along the transportation belt just like baggage moving along the conveyor belt."
49,0,the session level frames extracted from the video and the danmu posts
50,0,summary of different sessions in a video
51,0,user selected video segment(s)
52,0,initial post
53,0,"Then User A replied to others postings, and the level of response gradually dropped"
54,0,initial postings
55,0,blue replies
56,1,smoothly explore opinion diffusion from the high level to the low level
57,1,"With this function, they can explore a single event and its related opinion diffusion under different time granularities."
58,1,it is preferred to propagate positive opinions over the long term.
59,1,observe and compare opinion diffusion with respect to different topics
60,1,exploring new visual interfaces for backchannel communication
61,1,supports interactive exploration
62,1,we seek to encode recent and present data change with visual variables that are easy to follow and gradually build up a history of data change
63,1,topic summarization
64,1,summarization at different levels of detail
65,1,visualize both raw text and derived properties
66,1,"In the iterative process, various insights can be derived by exploring different aspects of the data streams."
