index,label,sentence
0,0,opinions among many users regarding different topics on social media.
1,0,public opinions on social media.
2,0,Twitter Data maintained by Apache Lucene
3,0,"collect, maintain, and process tweets from Twitter."
4,0,an index of the tweets and users collected from Twitter
5,0,"Sentiment SpecificWord Embedding (SSWE) to extract opinion information for each tweet. SSWE extracts an opinion of a tweet and assigns it a real value that ranges from  1 to 1, which represents “most negative” to “most positive”. Values close to 0 mean “neutral”"
6,0,The diffusion modeling component employs a diffusion model to approximate the diffusion among users between the successive time stamps in every topic.
7,0,"hierarchical structure of the topics, an opinion flow map, and a user/tweet list view for detailed examination."
8,0,"The data sets contained information on the 2013 US government shut down (7,734,728 tweets from June 1, 2013 to November 16, 2013), the NSA’s PRISM program (5,335,830 tweets from June 1, 2013 to November 16, 2013), and an IT company (1,564,487 tweets about Microsoft from April 1, 2013 to July 10, 2013) using related keywords and hashtags such as “#shutdown”, “#prism”, and ”Microsoft”"
9,0,"Microblogging communities, such as Twitter, are increasingly used as digital backchannels for timely exchange of brief comments and impressions during political speeches, sport competitions, natural disasters, and other large events."
10,0,representing topical development
11,0,"the activity of participants,"
12,0,shared photos.
13,0,"main topics, most active participants, and most popular images"
14,0,current activity by being able to review recent developments.
15,0,"Considering that events may last from minutes to several weeks, the interface should provide flexible methods"
16,0,the topics and the participants of the backchannel
17,0,individual participants
18,0,topical development over time.
19,0,"topics and participants, and entering search terms."
20,0,"to provide organically evolving representations of a constantly changing data set, and interactive access to the temporal distribution of topics, the most active participants, and salient photographic impressions."
21,0,microblogging community Twitter as a widely used backchannel platform.
22,0,build on Twitter
23,0,"we focus on a tweet’s author, timestamp, and text."
24,0,"with the timestamp, to indicate its topical evolution."
25,0,"contain links to images,"
26,0,"whether a tweet is a quotation by somebody else, namely a re tweet,"
27,0,"Twitter community is to add so called hashtags—tags preceded by a hash sign—that are intended to associate a tweet with certain places, topics, or events"
28,0,we treat hashtags as words.
29,0,temporal spikes and periods of low activity
30,0,"we extract event photos that are typically associated with tweets as links to image services, such as Twitpic. We determine whether a post is a re tweet quoted from somebody else by looking for substrings of RT."
