Positive,Negative,Neutral,Compound,Sent_result,Sentiment,Review,Index
0,0,1,0,1,Neutral,"CrystalChat: Visualizing Personal Chat History Abstract As more people take part in online conversations, awareness of the varying conversational styles and social mores afforded by different software,is g,""rowing.,"",",0
0.082,0.06,0.858,0.128,0,Positive,"However, this awareness is largely built on personal impressions as varying styles of social interactions are hard to discover in text-based presentations.",1
0,0,1,0,1,Neutral,Through visualization we explore social and temporal interactions in instant messaging.,2
0,0,1,0,1,Neutral,CrystalChat visualizes personal chat history.,3
0,0,1,0,1,Neutral,"Rather than showing online social networks that indicate merely who talks to who, CrystalChat reveals the patterns in an individual's communications with those people who are part of their personal,chat,history.,"",""",4
0.044,0.055,0.902,-0.1027,2,Negative,"The patterns revealed come from instant messaging data that includes information about temporal clustering, conversation initiation, conversation termination, length of conversations, length of post,""ings,"",patterns,""of repetitive or alternating postings, and emotional tone as represented by emoticons.,""",5
0,0,1,0,1,Neutral,"face-to-face conversations; thus, visuals are added to augment the communication itself [11,15,18].",6
0.116,0,0.884,0.4404,0,Positive,"Another reason to use visuals is to provide ways to better understand people's interactions and the social networks that develop around them [7,10,11,21].",7
0,0,1,0,1,Neutral,"CrystalChat, an interactive visual representation of instant messaging data, falls into this latter category.",8
0,0,0,0,1,Neutral,1,9
0.12,0.113,0.767,0.0516,0,Positive,"Introduction While casual conversations are typically fleeting and traditionally leave no record, they have been and continue to be a significant part of our day to day interactions.",10
0.169,0,0.831,0.5413,0,Positive,"Some varieties of online communication tools, such as instant messaging (IM), seem particularly well suited for casual conversations where people use single words, sentence snippets and complete eac,h oth,er's phr,""ases.,""",11
0,0,1,0,1,Neutral,"Unlike the spoken variety of these communications, the online version leaves a digital trace.",12
0,0,1,0,1,Neutral,"We present CrystalChat, a visualization of the trace information left by instant messaging.",13
0.159,0,0.841,0.5106,0,Positive,"Online communication continues to grow in the number of people who use it, in the number of messages sent, and in the new varieties and styles of software that support it.",14
0,0,1,0,1,Neutral,"Online communication now includes not only email but also things such as chatrooms, bulletinboards, text messaging, conferencing software, newsgroups, and instant messaging.",15
0,0,1,0,1,Neutral,"This is changing the way we communicate with each other and affecting the way we maintain our social groupings [2,3,6].",16
0.278,0,0.722,0.4019,0,Positive,Accompanying visuals have arisen to support these tools.,17
0.096,0,0.904,0.5118,0,Positive,"One reason for visualizing this data is that simple text communication is less rich than Text data from IM chat is typically displayed as a temporally ordered list and quickly fills available screen,spac,""e.,"",",18
0.116,0,0.884,0.4404,0,Positive,"As a result, we can only view a small segment at a time and the text list itself does not make interaction patterns easy to discern.",19
0.14,0,0.86,0.0772,0,Positive,A considerable number of social visualizations have arisen in response.,20
0,0,1,0,1,Neutral,"These often focus on a particular type of online communication such as email [10, 19] and newsgroups [2] or a particular aspect of the data such as the social network [5-7,13] and conversation initi,ation,and resp,""onse [10,17].,""",21
0.08,0.081,0.839,-0.0093,1,Neutral,"These social visualizations are created to enrich text and to visually capture social patterns that are not easily visible through plain text [28,13,15,17-21].",22
0.139,0,0.861,0.4404,0,Positive,"CrystalChat focuses on the social interaction centered around one person, supporting selfexploration of one's own chat history (Figure 1).",23
0.08,0,0.92,0.2732,0,Positive,This program creates an interactive visualization that incorporates the actual text messages in a structure that \x0cintegrates one's chat interaction patterns with a temporal trace of history.,24
0,0,1,0,1,Neutral,Our design is based on combining the social network and the temporal aspect into one 3D representational structure.,25
0,0,1,0,1,Neutral,In the next section we outline the related work.,26
0,0,1,0,1,Neutral,"In Section 3, we describe the concepts and design goals behind CrystalChat.",27
0,0,1,0,1,Neutral,"In Section 4, we explain the visual representation and Section 5 discuss interaction possibilities.",28
0,0,1,0,1,Neutral,"In Section 6, we describe some of the patterns revealed by this visualization.",29
